无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
中流沉溺始求援，何如走顺风时，帆休扯足	近水楼台同仰望，切莫立高岸上，漠不关心
闵周将危，悲啸古传鲁漆室	信欧有立，雅才今抗宋庐陵
临阵捐躯，较辱死苟生，千古独留气节	披坚执锐，想效灵助战，九原还建功勋
虽有周亲，不如我同姓	谁谓朱远，率乃祖攸行
八百年聚族于斯，宋室同传宗室表	二千石分符到此，明州来谒润州祠
一楼萃三楚精神，云鹤俱空横笛在	二水汇百川支派，古今无尽大江流
联蜀拒曹，乃公一生学问	舍奸去诈，则吾十年用心
上帝本好生，求我与以儿女，不求我亦与以儿女	下民须自爱，为善报在子孙，为不善尤报在子孙
某水某丘，敬爱有加，吾童子时钓游所在	可坐可濯，起居惟适，大丈夫方闲处之为
明眼怕看人，万事思量惟酒好	湖边能醉日，一春不惜买花钱
道澧在后，澹澧在前，大川广原，隐然襟带	彭王不终，思王不朽，封建郡县，交有功名
彭王香火一千载	山色檐甍十二时
一览众山，空无所依傍	千秋万岁，最苦此夫妻
左抱青山寺，后负黄山人，喜嘉山山有侣	志同衔石禽，身甘化石女，伤恨石石无言
几席三山，万顷波涛疑海上	湖天一阁，重阳风雨是江南
君恩彀向渔樵说	身世无如屠钓宽
可以养性消疴，还年驻色	爱有嘉禾美卉，垂水蒙华
心似南湖常淡定	身依北斗最高寒
鸟声和悦钧天乐	棋子纵横百练兵
逃名渔父蒙恩泽	退步神仙在俊雄
人在云霄观日出	山如龙马夹江来
朝浮枉渚，暮宿辰阳，郛廓天作成，五百里间楼第一	秦洞桃花，楚城菱角，风流浪淘尽，二千年后月当中
对面隔云泥，嗟哉吾党二三子	此心系家国，安得广厦千万间
功名安足为，当时交趾车还，如公忠勇犹腾谤	拜瞻空有感，此日越裳贡渺，何人慷慨更筹边
欲除后悔先修已	各有来因莫羡人
几堆江上画图山，繁华自昔，试看奢如大业，令人讪笑，令人悲凉，应有些逸兴离怀，才领得廿四桥头箫声月影	一派竹西歌吹路，传诵于今，必须才似庐陵，方可遨游，方可啸咏，切莫把秾花浊酒，便当作六一翁后余韵流风
淮水东边旧时月	金陵渡口去来潮
坐卧一楼间，因病得闲，如此散材天或恕	放怀千载上，过时为学，庶几昞烛老犹明
无补清时，终老书丛原宿志	偶谈瀛海，重摊诗卷纪前游
跨八百里洞庭，占此湖山，巍然阁对白龙井	聚万千家烟火，成兹廛市，忆否笛吹黄鹤楼
万劫犹存，世上蟪蛄忘岁月	一尘不到，洞中鸡犬亦神仙
洞庭潴水非前，拳螺尚照秦时月	夫婿筑城不返，寡鹄和歌澧浦云
江水东流，淘尽了千古英雄儿女	石城西峙，依旧是六朝烟雨楼台
湖本无愁，笑南朝递起群雄，不盈佳人独步	棋何能胜，为北道误投一子，致教此局全输
世事如棋，一着争来千古业	柔情似水，几时流尽六朝春
人唤莫愁，湖唤莫愁，天下事愁原不少	王宜有像，侯宜有像，眼中人像此无多
山温水腻，风月常存，几人打桨清游，倩小妓新弦，翻一曲齐梁乐府	局冷棋枯，英雄安在，有客登楼闲眺，仰宗臣遗像，压当年常沐勋名
赌墅付传闻，叹青史成堆，千古河山棋一局	争墩笑多事，看画梁依旧，半湖烟雨燕双栖
明月几时有，更上层楼，问棋子声中，谁操胜算	美人犹未来，且摇小艇，向藕花香里，自遣闲情
儿女不知愁，南朝金粉，北地胭脂，何事干卿，寂寞一池吹水皱	将相本无种，旧庙鸡鸣，新祠虎踞，其人不死，淋漓大笔写图看
此水自当兵十万	昔人曾有客三千
天浮一鼋出	山挟万龙趋
满地干戈，故老伤春作寒食	重湖风月，有人招隐结茆庵
七十二峰青欲断	万八千株芳不孤
树木十年，此地合名小香雪	太湖万顷，浮生直欲老烟波
历长广溪曲曲清流，一水回环，入室又通香雪海	与东西山遥遥相对，片帆时渡，满船合载洞庭春
双枫名共此亭古	青山静看行者劳
两脚不离大道，吃紧关头，须要认清岔路	一楼俯看群山，占高地步，自然赶上前人
如月当空，偶以微云点河汉	在人为目，且将秋水翦瞳人
四季笙歌，尚有穷民悲夜月	六朝花柳，浑无隙地种桑麻
在山泉清，出山泉浊	陆居非室，水君非舟
天地一网罟，欲度众生谁解脱	飞潜皆性命，但存此念即菩提
来往游人，须知爱惜花柳	春秋佳日，切莫辜负湖山
主辱臣忧，当在外从亡，一饭已经肝胆碎	功成身退，问诸君食禄，千秋留得姓名无
何处招魂，香草还生三户地	当年呵壁，清湘应识九歌心
亲不负楚，疏不负粱，爱国忠君真气节	骚可为经，策可为史，补天浴日大文章
德必有邻，把臂呼岳家父子	忠能择主，鼎足定汉室君臣
懔懔生气	悠悠苍天
朝有奸党，岂能成将帅之功，若教杖钺专征，蛟虎犹非对手敌	世无圣人，不当在弟子之列，惟信读书折节，机云曾作抗颜师
立庙永馨香，看眼前大好河山，浩劫难磨生气在	登堂闻馨欬，有世上未除蛟虎，先型仰企抱惭多
一门全大节	百战守孤城
在明庄烈朝内外交讧，北援南征，伟哉失人物	与周平西祠后先相望，忠魂毅魄，壮此好溪山
亦有褚渊生，弱质自成松柏劲	终从汪踦死，义心常并芷兰芬
三疏流传，枷锁当年称义士	一官归去，锦衣今日愧先生
人上翠微梯，蓬岛春阴天尺五	客来书画舫，桃花流水月初三
以学愈愚，是堂堂阵	有备无患，铸将将才
胜迹表官亭，况恰当庐阜南横，大江东去	平湖满烟月，谁补种四围杨柳，十里荷花
枫叶荻花秋瑟瑟	回崖叠嶂凌苍苍
绝顶共跻攀，江上琵琶向谁语	五峰相揖让，山中云雾待吾开
我辈复登临，壶觞须就陶彭泽	群公有惭色，勋业终归马伏波
扫尽烟云，现出庐山真面目	挽将逝水，认明禹甸旧源头
一楼何奇，杜少陵五言绝唱，范希文两字关情，滕子京百废俱兴，吕纯阳三过必醉，诗耶？儒耶？吏耶？仙耶？前不见古人，使我沧然涕下	诸君试看，洞庭湖南极潇湘，扬子江北通巫峡，巴陵山西来爽气，岳州城东道岩疆，潴者，流者，峙者，镇者，此中有真意，问谁领会得来
放眼看江山，无限白云都过去	题诗问鹦鹉，何年黄鹤复归来
恨我来迟鹤早去	怪人来到诗先传
千年仙枣不留核	五月落梅犹有花
上书侈八表雄图，捧日何尝罄壮抱	聚铁成六州大错，雕霜今己到坚冰
天地风尘，古庙丹青经几劫	江淮俎豆，空山雀鼠亦千秋
男儿死耳又奚言，若论唐室元勋，数百战功名，岂输郭李	父老谈之犹动色，但吁扬州都督，亿万年魂魄，永镇江淮
铜柱镇鸢飞，顾盼生风，意气真能吞浪泊	金门留马式，男儿报国，姓名何必与云台
孤屿有邻，喜得卓公称后死	严陵在望，直呼皋父哭先生
大功在备倭，城郭依然，公去苍茫谁嗣者	明诏使防海，风波未已，吾来宏济愧前贤
一序证前游，太白光芒神久在	三章怀绝调，牡丹时节我刚来
来日大难，对此茫茫百端集	英灵不昧，览兹蹇蹇匪躬愚
开绝学于胡叔心、陈公甫、王阳明之前，享祀方堪从庙庑	集大成于河西氏、太史公、文中子之后，诞灵应不愧河津
事君以道，无惮杀身，昔人称锡谷四谏之一	当官而行，不求利己，后世高碧山十友之风
天命有归，万里长城宜自坏	人心不死，千秋直道任公评
祠接谢亭，亦有文章惊海甸	忠符信国，并悬肝胆照江心
孤城屹立，半壁粗完，自昔论功侪郭李	一日效忠，千秋慕义，此间继起有阎陈
天意启斯文，不是一封书，安得先生到此	人心归正道，只须八个月，至今百世师之
锦绣江山，半壁雄心敌吴魏	风云儿女，千秋佳话掩甘糜
春雨桑楼，无限落花悲帝子	秋风剑阁，有人洒泪吊将军
汉家樵子亦英雄，漫说云台列将	莽世簪缨真草芥，可怜禄阁书生
佩鄂国至言，不爱钱，不惜死	与文山比烈，日取义，日成仁
弟兄皆许国	出入冠诸公
茅土加名数	神功接混茫
鄂不照乎栘华，龙骧骧乎云路	身画凌烟之阁，名藏太室之廷
生申甫以中兴，家有白眉兄识弟	萃邓冯于同产，我观青史古无伦
马足车尘并千古	寒泉秋鞠比三高
诗追梁苑，镫远樊楼，今古风流同胜地	云接太行，湖沉艮岳，纵横气概遍高台
岳色渡河来，远树平沙天广大	楼头延月入，宋台梁苑客徘徊
白波如泛五湖，鸥鸟迎人，好涤衫尘登画舫	凉气顿生六月，蝉声催酒，胜他灯火上樊楼
文之至者罔不传，昔有十贤，天地长留诗卷在	我思古人怅莫见，瞻顾四海，风云应共异材来
壮其文词，一见诵忆	慕仰风味，匪为观游
卅六里雪浪飞来，淘尽万里英雄，尚遗鸦阵神兵，留传部曲	廿八将云台在否？幸有五溪祠庙，得与羊裘钓叟，共占江山
所谓大臣，行己也恭，养民也惠	厥有成绩，荆河惟豫，淮海惟扬
二仪上下分清浊	万国衣冠拜冕旒
周郎胡为乎来，地若葬曹瞒，便坏此江山风月	安石何以不死，天而相苏子，岂老于诗酒渔樵
百丈称雄，对门兀立	九溪别派，抱寺曲流
长与流芳，一片当年干净土	宛然浮玉，千秋此处妙高台
风景不殊，四十年余旧泥爪	江山如许，二千里外小金焦
雨不崇朝遍天下	花随流水到人间
仙佛缘中，湖山胜处	楼台影里，云水闲时
泉声常在耳	山色不离门
墩本吾家，胜迹从来称太傅	宅由我造，半山莫更让荆公
往事重论，怀古谁含出世想	昔贤不见，听泉我爱在山声
钟阜割秀，青溪分源，咫尺接层城，叹禁苑全虚，尚留此寺	谢傅棋枰，荆公第宅，去来皆幻迹，问孤墩终古，究属何人
长啸一声，山鸣谷应	举头四望，海阔天空
天与水无涯，万舶远循鳌柱麓	地随山共尽，十洲环向海陀峰
三千里外一条水	十二时中两度潮
穿荻小车疑泛艇	出林高阁当登山
长戈满地，一亭独幽，客子河粱携手去	把酒问天，陶然共醉，西山秋色上衣来
箧有三山记	胸藏五岳图
宫中下见南山尽	城上平临北斗悬
荷花如城月如斗	名流作主泉作宾
夕阳山色横危槛	夜雨河声上小楼
荔子甲天下	梅妃是部民
雷峰如老衲	宝石似美人
江流石不转	云在意俱迟
短艇得鱼撑月去	小轩临水为花开
回看佛国青螺髻	误入仙人碧玉壶
瓷碗竹炉皆恰当	新题旧什各分明
半塔斜阳颓老衲	一池残叶战秋声
四面荷花三面柳	一城山色半城湖
一角小亭半城市	四围秋水万荷花
最喜荷花环佛界	每量湖水问渔人
岭树湖云沉足底	江潮海日上眉端
圣恩赐西湖一曲	人望若北斗七星
江空欲听水仙操	壁立直上蓬莱峰
洞五百尺不见底	桃三千年一开花
泥雪人生几鸿爪	津亭诗句万牛毛
新旧十年行馆雨	雌雄几辈过江风
花笺茗碗香千载	云影波光活一楼
抔土他邦瘗忠骨	有人异代吊先民
山光下溪静相好	云影挂树闲不流
静定一去惑	宽缓默不争
想见东坡旧居士	为我佳处留茅庵
渐不为人识	时还读我书
楼观沧海日	门对浙江潮
甘棠绕屋，荐鞠浮尊，比当年广厦万间，下榻正宜徐儒子	玉笛无声，青山依旧，料此后明湖一曲，停桡都唱蒋安阳
灵之来兮，从白舍人游，配苏学士食	客何为者，横杨公济笛，披董静传书
尽此一寸心，与点缀湖光山色	收拾数间屋，尽勾留墨客骚人
理棹访精庐，秋水白苹，伊人宛在	倚梅寻旧约，青山红豆，到处相思
湖两山孤，此处有泉可漱也	天一地六，先生自号无说乎
梅鹤寄高闲，遗稿千秋笑司马	湖山写清冷，寒泉一掬拜坡仙
山冷好教梅嗣续	巢深应有鹤归来
斯人亦云逝	寒梅徒自荣
白首卧松云，先生有才过屈宋	茅亭宿花影，故乡无此好湖山
好水好山，出东郭不半里而至	宜晴宜雨，比西湖第一楼何如
今不管世界虎斗龙争，拓地十弓，假愚谷为名，五柳自号	未须疑此园山穷水尽，出门一笑，看后溪东去，三峰北来
户外一峰秀	窗前万木低
海日宜晞发	天风与振衣
登丘望海无涯思	摩石听松一适时
石室云开，见大地山川，三千世界	水帘风卷，露半空楼阁，十二栏干
笑前贤许多祥麟威凤	乃所愿作个战马耕牛
未闻安石弃东山，公能不有斯园，贤于古人远矣	漫说少陵开广厦，彼仅空怀此愿，较之今日何如
历宦海四朝身，且住为佳，休孤负清风明月	借他乡一廛地，因寄所托，且安排奇石名花
何处白云归，有乡里古招提，出西郊不半里而至	前生明月在，是佛门新公案，言东坡为五老后身
野老时一望	游子澹忘归
无以慰延伫	聊可莹心神
得未曾有	从无始来
得大安稳绝于人境	离一切相情均天伦
辟艺苑文林，以为三径	擅春花秋实，无忝百城
花木土石水泉，离世乐道者宜有	诵读论议教诲，大雅宏达之所群
朝受业，昼讲隶，夕习复	精五饭，慕酒浆，缝衣裳
山随平野尽	村入郭门来
尘海沤中已无锥立地	孤峰顶上有把茅盖头
尽楼台池馆，只妙手成图，谁办此五世遗经，万言作赋	视将相王侯，如飘风过眼，才消纳四围烟水，一榻云山
万卷百城，安事酒杯浇垒块	清风明月，故应城市有山林
持观万物表	用竞一楼雄
二分诗景八分画	楼外江声天外峰
合名臣名士为我筑楼，不待五百年后，斯楼传矣	傍山北山南循地选胜，适在六一泉侧，其胜如何
坐曝书亭，登小仓山，文采风流，二百余年无此盛	对退省庵，近巢居阁，勋名德业，两三间屋并生春
选胜到里湖，过苏堤第二桥，距花港不数武	维舟登小榭，有奇峰四五朵，又老树两三行
