一上高楼，缅当年江汉风流，多少千秋人物	双持使节，喜此日荆衡形势，纵横万里金汤
世亡大师，溇波澧流，为之呜咽	我上私谥，拜手稽首，厥曰贞文
世人称为黑神，其诬甚矣	古来有奇男子，于兹见之
世变日乖，道路何尝非死所	羁魂未返，江湖空自数亲知
世外人，法无定法，然后知非法法也	天下事，了犹未了，何妨以不了了之
世外凭临，一面峰峦三面海	云中结构，二分人力八分天
世外原无众香国	花阴真是小华胥
世情岂尽能相合	贤者所为固自殊
世无太白一千年，喜酒杯在手	我隔洞庭八百里，赋楚些招魂
世无晋国触槐人，何地何时，忍令锄麂乘赵盾	书有楚词香草泪，独清独醒，始知渔父即灵均
世无英雄，使竖子成名，空令步兵悲广武	地当徐泗，叹斯人长往，独留开府老江关
世无遗草真能隐	山有名花转不孤
世无鲁仲连，举国将为仆妾	君是陈同甫，使人大拓心胸
世界三权，法亦特权，独立示尊严，窃愿后有来者	西南诸国，滇为大国，百城忝表率，相期下无冤民
世界八星入楼望	云间十子擅文章
世界大同兼施博爱	人间郅治选贤举能
世界小梨园，牵帝王师相为傀儡，廿四史演成一部传奇	佛门大养济，收鳏寡狐独作丘尼，亿万人遍受十方供奉
世界已非唐虞，近接丛祠，生喜有邻傍舜妇	英雄不及儿女，虚传疑冢，死怜无地葬曹瞒
世界田海惊心，萃稗史四千余年，儿女英雄演出黄帝魂，顿令旧案翻新案	汉家旌旗在眼，看云台二十八将，公侯文武高陪紫微座，莫谓今人无古人
世臣喻乔木	晚节视黄花
世言政治有关，果尔则政治家必成人道之蟊贼	国以工商为宝，如公乃工商界能造时势之荚雄
世间无此酒	天下有名楼
世间有佛宗斯佛	天下无桥长此桥
世间桃李尽出公门，何须腊尽始芳菲，满眼无非春色	天下鱼龙都归学海，不待时来方变化，启口即是雷声
世间清品至兰极	贤者虚怀与竹同
世间科第与风汉	槛外云山是故人
世须才，才亦须世	公负我，我不负公
丘壑趣如此	鸾鹤心悠然
丙象著文明，衣钵相传，同赓鹿野	午科多胜事，箕裘领解，接武蟾宫
业定难移，伉俪竟同归，伤哉欲废黔娄谥	空无所住，海山亦是幻，谁道真成白傅龛
业精于勤，修其孝弟忠信	学优则仕，以为黼黻文章
业高乎众意岂满	泽及于人功不虚
东下壮军声，横槊高歌，遥想一时豪杰	北归停使节，落帆小泊，闲看千里湖山
东作穑关心，雪融陇麦，烛照田蚕，课雨占晴尚初志	左旋杓向角，节宴尧浆，灯词舜轸，抚时行庆有前规
东华灿烂日初升，紫气常依晓殿	北阙辉煌云正丽，祥光遍护春台
东南自古多佳山水	溪壑之流为海波澜
东土征歌，问表海雄风，今乐何如古乐	南宫奏曲，听遏云高响，雅音原是乡音
东土耶，西土耶，古木灵根不二	风动也，旙动也，清池碧水湛然
东坡千载人，游于物表	钱塘万顷白，来自云端
东坡雅人，宜作生日	南田秋兴，相期岁寒
东墙倒，西墙倒，窥见室家之好	前巷深，后巷深，不闻车马之音
东壁仰儒风，正色却邪蒿之纂	南天培士气，高文扶大雅之轮
东壁图书府	西园翰墨林
东壁图书西园翰墨	南华秋水北苑春山
东壁所藏图书皆古	溪堂既作鱼鸟与亲
东山不出，无愧苍生，唯公结中兴名臣之局	幕府多才，同登荐牍，独我累老成知人之明
东山丝竹	南海衣冠
东山闲并谢公卧	溪水辱于柳子愚
东庙阚西厢房东西两厢门户相对方敢并坐	南京河北京城南北双京水土并分可成霸业
东方先生善谐谑	南极老人应寿昌
东方献寿	麟笔书春
东林讲学以来，必有名世	南方豪杰之士，于兹为群
东汉经师，西江宗派，南阳治谱，北海义声，综厥生平，许儒林文苑循吏任侠以合传	洞庭后劲，水竹德邻，壮武兼才，太常代表，同兹陨落，看溇渫茹温道黄澹涔之流哀
东流江海汇，揽此地一亭风月，休忘却几辈乡贤，百战余生，鹅鹳千军雄剑泪	南宋古今悲，拚吾家两字精忠，难撑起中原孱局，九州大错，龙鼍万派怒潮声
东海苍龙，出为霖雨	南岳朱鸟，上应寿星
东海非遥，十丈蓬莱迎晓日	南湖无恙，一双鸳鸟弄晴波
东省忆同官，旋听台莱颂南国	北堂依寿母，长看旗翼照西湖
东箱启儒席，论敷奥旨，雅肄古歌，诗诵寿万千无量	左海侑宾筵，乐补吹笙，乡观饮酒，礼成月三五而盈
东行九十里，斫地一悲歌，料从者化为鬼雄，定当乱掷头颅，夜夜声声呼杀贼	西望万重山，问天独搔首，算书生不废豪举，也为长挥涕泪，年年念念纪登高
东西朔南，讫于四海	岁时月日，惟曰万年
东阁勋猷，北门锁钥	西天生佛，南极寿星
东阁联吟，有客忆千秋词赋	南楼纵目，此间对六代江山
东陆鸟司开，辛析绀殿，亥藉黛辕，惕若躬亲弈叶守	北辰象布令，秋狝上兰，冬嬉太液，昭哉心法髦期勤
东震旦最尊，楼涌万佛，经译三乘，欢喜园中法轮转	南赡部妙胜，印写秘文，塔飘吉帛，光明天上慧灯悬
东风入户	喜气盈门
东风吹出千山绿	春雨洒来万象新
东风吹暖英雄门第	喜报映红光荣人家
东风开画栋	旭日映华堂
东风迎新岁	瑞雪兆丰年
东馆接朱陵，好与长沙回舞袖	南山笼紫盖，共听仙乐奏云璈
东鸟西飞，满地凤凰难下足	南龙北跃，一江鱼鳖尽低头
丝竹放怀春未暮	清和为气日初长
丞相大门能作弟	中兴元老更无人
丞相当年曾驻马	江山终古此蟠龙
丞相胡同，满素车白马	元家宾奠，悼荩箧金钗
两三竿竹皆秋色	千万叠山有雨容
两世三公，太平宰相	一堂五代，富贵神仙
两世勋名郭仆射	一家书画李将军
两世契交情，溯从事丹铅，诸昆亲炙多年，获教岂徒身受益	一朝悲永诀，看公归素旐，伯兄宦羁斯地，临风不独我伤神
两京六朝富文史	三高八及挺才名
两卷新诗，廿年旧友，相逢同是天涯，只为佳人难再寻	一声河满，九点齐烟，化鹤重归华表，应愁高处不胜寒
两口居绿水丹山，妻太聪明夫太怪	四围皆青燐碧血，人何寥落鬼何多
两届星周，循誉久推贤太守	九秋霜陨，后凋又谢老成人
两山横界东西，是桃源路去来，问道向此间指引	一水劈开南北，到洞庭湖会合，溯源在这里分明
两岸楼台，高卷筠廉邀月入	一河船舫，轻摇兰棹栽花来
两庑荐馨香，咸钦名相谟猷，大儒学问	六桥揽风月，犹似川云宦迹，烟雨家乡
两庠为后进，六诏羼属僚，临安平贼又厕前驱，大风嘘送羽毛，提携跻我青云上	八桂荐特科，三湘督团练，资政开山俨称代议，改玉睽违颜色，丧乱哭公沧海流
两朝天子	一代圣人
两树梅花一潭水	四时烟雨半山云
两浙人来，岁祝选湖山胜境	双堤门外，风流继唐宋名臣
两浙再停骖，有守无偏，敬奉丹豪遵宝训	一门三秉节，新猷旧政，勉期素志绍家声
两点金焦，到山时不如望	一庵海岳，怀古者见其人
两点金焦，到山者不如望	一庵海岳，怀古者见其人
两点金焦，劫后山容申旧好	万家食货，舟中水调似承平
两由一生，文章悬象	溪向川注，学海朝宗
两番画获昌欧门，六一堂玉为树	群星奉觞祝金母，三千年桃始花
两登耆宴今犹健	五掌乌台古所无
两皖生才，台阁犹含雄杰气	四郊多垒，江山莫作等闲看
两翼石栏扶海出	三秋水月渡空行
两脚不离大道，吃紧关头，须要认清岔路	一亭俯看群山，占高地步，自然赶上前人
两脚不离大道，吃紧关头，须要认清岔路	一楼俯看群山，占高地步，自然赶上前人
两舟竞渡，橹速不如帆快	百管争鸣，笛清难比萧和
两袖入清风，静忆此生宦况	一庭来好月，朗同吾辈心期
两袖清风廉太守	二分明月古扬州
两间东倒西歪屋	一个南腔北调人
两间待人而三	万物与我为一
严亲早逝恩未报	慈母别世恨终天
严断仉机，敬同却馌	明征刘传，幽表欧阡
中丞教作沧浪主	相国呼为金石僧
中华化学更有几人，从此广陵成绝调	今日军资为第一事，痛哉欧冶堕洪炉
中华讵不被敉平耶，胡蓄道德能文章如公，奄然长逝	京洛都幻成陈迹矣，忆秋声馆谏草堂旧集，得勿怆怀
中原士气扬旗鼓	左海文章射斗牛
中原豪杰开先，砀山大剑，十万横磨，曾使满清朝廷动色	护法旌旗忽黯，夔府此枰，二三已甚，试思危局柱石更谁
中国捷克日本	南京重庆成都
中国有圣人，是祖是师，咄咄西来东土	名山藏帝子，亦仙亦佛，元元北镇南天
中圣人之清，有如此水	取醉翁之意，以名吾亭
中天台观高寒，但见白日悠悠，黄河滚滚	东京梦华销尽，徒叹城廓犹是，人民已非
中天悬明月	绝代有佳人
中央宛在	一半勾留
中寿世所荣，祝嫂嫂千秋，永佐阿哥持豸节	高歌吾已老，愿年年二月，长偕犹子进麋觞
中年遽折雄姿，呕血不挠翁叔节	大勇无如悔过，本心犹见秣陵书
中有仙龛虚一室	更邀明月作三人
中流沉溺始求援，何如走顺风时，帆休扯足	近水楼台同仰望，切莫立高岸上，漠不关心
中隐春深飞野鹤	岩泉石瘦响寒林
丰城剑到此化龙，故土多情，笑认乡亲心共慰	水部郎易而司马，冷官无事，权膺郡守政仍闲
临危得脱见其智，履险不晊见其勇，高位首辞尤证其让	辛亥覆清曰公功，癸丑抗袁曰公忠，丙辰死沪是完公名
临去诗成，写照髯仙，明月清风人已远	平生墨妙，瓣香冰叟，虹楼瀛海世争传
临流口汲西江水	隔岸拳擎北固山
临类咸和，取诸无妄	随时观感，咸与同人
临阵捐躯，较辱死苟生，千古独留气节	披坚执锐，想效灵助战，九原还建功勋
临雍茂上仪，圜桥水与恩波渥	勒石期寿世，猎碣文从圣藻新
丸熊助苦，封鲊资廉，有是母，乃有是子	隔幔传经，居楼授史，闻其语，今见其人
丹心应结平权乐化身作自由神，姓氏皆香，剑花飞上天去	碧血常开革命化呕心为长吉语，龙鸾一啸，诗草还让君传
丹桂飘香开月阙	金萱称庆咏霓裳
丹毫一点，乃吾民利害攸关，须念悖出必将悖入	白日三竿，即尔室公私毕照，莫谓知显不在知微
丹荔同尝，游宦相从忆南海	紫藤过访，结邻且喜近东坡
丹陛披肝，千古纲常可托	荒庭屈膝，两人富贵何为
丹青不独任	心迹喜双清
丹青不知老将至	云山况是客中过
丹青遍邓尉罗浮，绕墓植梅花，来去原从众香国	俎豆傍白公坡老，作祠倚修竹，海天还有一仙龛
丹青饰山水	金碧绘楼台
为乐及时，令德无极	去古不远，直道在斯
为人不外修齐事	所乐自在山水间
为人尚正直	处事贵公平
为人师表诲而不倦	替国树才教必有方
为仁犹曰行仁，服膺弗失	于止知其所止，常目在之
为伦类中所当行之事	作天地间不可少之人
为名士，作词臣，任封疆大吏，爱路近家园，小住桂林营绿野	工书画，考金石，著燕许文章，怅迹疏坛坫，遽闻兜率迓香山
为名忙，为利忙，忙里偷闲，吃杯茶去	劳心苦，劳力苦，苦中作乐，斟碗酒尝
为名臣女，为名臣妻，江左佐元戎，锦繖夫人参伟业	以中秋生，以中秋逝，天边圆皓魄，霓裳仙子证前身
为吾乡好翰林，独能争气	是费家穷女婿，不会做官
为告万子孙，国家共和，本来世异秦世	各自一昭穆，牲酒时祀，莫道春非我春
为善须真，若教羃面登场，徒成假傀儡	食贫何害，试看关粮泼粥，终有好团圆
为国家保卫治安，功首罪魁，评议质诸后世	惟天地监临上下，私情公义，此心不负故人
为国忘家，无地可投湘水	舍生取义，有天应照燕山
为国捐躯，吾公志愿	缉凶善后，侪辈仔肩
为国捐躯	成仁取义
为国桢干	配曜岳嵩
为国桢榦	作主股肱
为国谋强，不战之战	普天同庆，似烟非烟
为大英雄，当如克林威尔	具真魄力，何惧乌德斯山
为天下不顾家，那堪魂归月夜	是男儿当报国，惜未死卧沙场
为学为修，为恂慄，为威仪，有斐为文，九十年华，尽卫武一生之事	曰寿曰富，曰康宁，曰攸好，考终曰命，三千世界，集箕畴五福而归
为学日务益	将诗待物华
为学深知书有味	观心澄觉宝生光
为官不过六百石	著书岂止五千言
为定慧，为声闻，布金地于祗园，六通朗彻	或净名，或缘觉，转法轮于鹿苑，五蕴圆明
为宰相莫行其道，何如为谏官倘行其言，我欲转语质永叔	先天下之忧而忧，不得后天下之乐而乐，君真薄命愧希文
为小相，予欲无言，则将焉用彼相	有世臣，是可忍也，今之所谓良臣
为张博望易，为富郑公难，力折强邻，拓地远逾分水岭	通方言以文，治舟师以武，时当多事，问天胡夺济川才
为恤民艰看菜色	欲知宦况问梅花
为政不在多言，须息息从省身克己而出	当官务持大体，思事事皆民生国计所关
为政戒贪，贪利贪，贪名亦贪，勿骛声华忘政事	养廉惟俭，俭己俭，俭人非俭，还从宽大保廉隅
为政若作真书，锦密无间	爱民如保赤子，体会入微
为政记河阳，诗篇仍洒黄门泪	伤怀思锦瑟，春事休开白奈花
为文须略识字	终身不复鼓琴
为无数权利，掷无数头颅，功不必自我成，甘心粉骨糜躯，以诏来者	揽第一江山，念第一豪杰，国庶乎有与立，从此蟠天际地，胥拜公灵
为机务总其成，按日具题，子细上尘乙览	与戎曹分厥任，经年缮写，辛勤下协寅恭
